Key,English
TwitchAction_FuriousRamsaySpawnMechanicalAllyLionTier3Desc,"Spawn Trader Network Mechanical Ally: Lion"

TwitchAction_FuriousRamsaySpawnMechanicalAllyBearTier4,"Bear Prototype"
TwitchAction_FuriousRamsaySpawnMechanicalAllyBearTier4Command,"#tn_ally_bear"
TwitchAction_FuriousRamsaySpawnMechanicalAllyBearTier4Desc,"Spawn Trader Network Mechanical Ally: Bear"

TwitchAction_FuriousRamsaySpawnMechanicalAllyNPCTier5,"Android Prototype"
TwitchAction_FuriousRamsaySpawnMechanicalAllyNPCTier5Command,"#tn_ally_android"
TwitchAction_FuriousRamsaySpawnMechanicalAllyNPCTier5Desc,"Spawn Trader Network Mechanical Ally: Android"

TwitchAction_FuriousRamsaySpawnBlackShieldBully,"Black Shield Bully"
TwitchAction_FuriousRamsaySpawnBlackShieldBullyCommand,"#bs_titan_bully"
TwitchAction_FuriousRamsaySpawnBlackShieldBullyDesc,"Spawn Black Shield Titan: Bully"

TwitchAction_FuriousRamsaySpawnBlackShieldGiant,"Black Shield Giant"
TwitchAction_FuriousRamsaySpawnBlackShieldGiantCommand,"#bs_titan_giant"
TwitchAction_FuriousRamsaySpawnBlackShieldGiantDesc,"Spawn Black Shield Titan: Giant"

TwitchAction_FuriousRamsaySpawnBlackShieldMammoth,"Black Shield Mammoth"
TwitchAction_FuriousRamsaySpawnBlackShieldMammothCommand,"#bs_titan_mammoth"
TwitchAction_FuriousRamsaySpawnBlackShieldMammothDesc,"Spawn Black Shield Titan: Mammoth"

TwitchAction_FuriousRamsaySpawnBlackShieldGoliath,"Black Shield Goliath"
TwitchAction_FuriousRamsaySpawnBlackShieldGoliathCommand,"#bs_titan_goliath"
TwitchAction_FuriousRamsaySpawnBlackShieldGoliathDesc,"Spawn Black Shield Titan: Goliath"

TwitchAction_FuriousRamsaySpawnBlackShieldColossus,"Black Shield Colossus"
TwitchAction_FuriousRamsaySpawnBlackShieldColossusCommand,"#bs_titan_colossus"
TwitchAction_FuriousRamsaySpawnBlackShieldColossusDesc,"Spawn Black Shield Titan: Colossus"

TwitchAction_FuriousRamsayTDCommander,"Trader Network Commander"
TwitchAction_FuriousRamsayTDCommanderCommand,"#tn_commander"
TwitchAction_FuriousRamsayTDCommanderDesc,"Spawn Trader Network Commander"

TwitchAction_FuriousRamsayTDSoldier,"Trader Network Soldier"
TwitchAction_FuriousRamsayTDSoldierCommand,"#tn_soldier"
TwitchAction_FuriousRamsayTDSoldierDesc,"Spawn Trader Network Soldier"

TwitchAction_FuriousRamsayTNKamikazeT1,"Kamikaze Tier 1"
TwitchAction_FuriousRamsayTNKamikazeT1Command,"#tn_kamikaze_t1"
TwitchAction_FuriousRamsayTNKamikazeT1Desc,"Spawn Kamikaze T1"

TwitchAction_FuriousRamsayTNKamikazeT2,"Kamikaze Tier 2"
TwitchAction_FuriousRamsayTNKamikazeT2Command,"#tn_kamikaze_t2"
TwitchAction_FuriousRamsayTNKamikazeT2Desc,"Spawn Kamikaze Tier 2"

TwitchAction_FuriousRamsayTNKamikazeT3,"Kamikaze T3"
TwitchAction_FuriousRamsayTNKamikazeT3Command,"#tn_kamikaze_t3"
TwitchAction_FuriousRamsayTNKamikazeT3Desc,"Spawn Kamikaze T3"

TwitchAction_FuriousRamsayTNKamikazeT4,"Kamikaze T4"
TwitchAction_FuriousRamsayTNKamikazeT4Command,"#tn_kamikaze_t4"
TwitchAction_FuriousRamsayTNKamikazeT4Desc,"Spawn Kamikaze T4"

TwitchAction_FuriousRamsayTNKamikazeT5,"Kamikaze T5"
TwitchAction_FuriousRamsayTNKamikazeT5Command,"#tn_kamikaze_t5"
TwitchAction_FuriousRamsayTNKamikazeT5Desc,"Spawn Kamikaze T5"
		
TwitchAction_FuriousRamsayBSHazmatT1,"Hazmat Tier 1"
TwitchAction_FuriousRamsayBSHazmatT1Command,"#bs_hazmat_t1"
TwitchAction_FuriousRamsayBSHazmatT1Desc,"Spawn Hazmat Tier 1"

TwitchAction_FuriousRamsayBSHazmatT2,"Hazmat Tier 2"
TwitchAction_FuriousRamsayBSHazmatT2Command,"#bs_hazmat_t2"
TwitchAction_FuriousRamsayBSHazmatT2Desc,"Spawn Hazmat Tier 2"

TwitchAction_FuriousRamsayBSHazmatT3,"Hazmat Tier 3"
TwitchAction_FuriousRamsayBSHazmatT3Command,"#bs_hazmat_t3"
TwitchAction_FuriousRamsayBSHazmatT3Desc,"Spawn Hazmat Tier 3"

TwitchAction_FuriousRamsayBSHazmatT4,"Hazmat Tier 4"
TwitchAction_FuriousRamsayBSHazmatT4Command,"#bs_hazmat_t4"
TwitchAction_FuriousRamsayBSHazmatT4Desc,"Spawn Hazmat Tier 4"

TwitchAction_FuriousRamsayBSHazmatT5,"Hazmat Tier 5"
TwitchAction_FuriousRamsayBSHazmatT5Command,"#bs_hazmat_t5"
TwitchAction_FuriousRamsayBSHazmatT5Desc,"Spawn Hazmat Tier 5"

TwitchAction_FuriousRamsayBSToxicZombieCrawler,"Toxic Crawler"
TwitchAction_FuriousRamsayBSToxicZombieCrawlerCommand,"#bs_toxic_cwl"
TwitchAction_FuriousRamsayBSToxicZombieCrawlerDesc,"Spawn Toxic Crawler"

TwitchAction_FuriousRamsayBSToxicZombie,"Toxic Zombie"
TwitchAction_FuriousRamsayBSToxicZombieCommand,"#bs_toxic"
TwitchAction_FuriousRamsayBSToxicZombieDesc,"Spawn Toxic Zombie"

TwitchAction_FuriousRamsayBSToxicZombieCreeper,"Toxic Creeper"
TwitchAction_FuriousRamsayBSToxicZombieCreeperCommand,"#bs_toxic_cre"
TwitchAction_FuriousRamsayBSToxicZombieCreeperDesc,"Spawn Toxic Creeper"

TwitchAction_FuriousRamsayBSToxicZombieFeral,"Feral Toxic Zombie"
TwitchAction_FuriousRamsayBSToxicZombieFeralCommand,"#bs_toxic_fer"
TwitchAction_FuriousRamsayBSToxicZombieFeralDesc,"Spawn Feral Toxic Zombie"

TwitchAction_FuriousRamsayBSToxicZombieRadiated,"Radiated Toxic Zombie"
TwitchAction_FuriousRamsayBSToxicZombieRadiatedCommand,"#bs_toxic_rad"
TwitchAction_FuriousRamsayBSToxicZombieRadiatedDesc,"Spawn Radiated Toxic Zombie"
		
TwitchAction_FuriousRamsayTNShockZombie,"Shock Zombie"
TwitchAction_FuriousRamsayTNShockZombieCommand,"#tn_shock"
TwitchAction_FuriousRamsayTNShockZombieDesc,"Spawn Shock Zombie"
		
TwitchAction_FuriousRamsayTNShockZombieFeral,"Feral Shock Zombie"
TwitchAction_FuriousRamsayTNShockZombieFeralCommand,"#tn_shock_fer"
TwitchAction_FuriousRamsayTNShockZombieFeralDesc,"Spawn Feral Shock Zombie"

TwitchAction_FuriousRamsayTNShockZombieRadiated,"Radiated Shock Zombie"
TwitchAction_FuriousRamsayTNShockZombieRadiatedCommand,"#tn_shock_rad"
TwitchAction_FuriousRamsayTNShockZombieRadiatedDesc,"Radiated Shock Zombie"
		
TwitchAction_FuriousRamsayTNFireZombie,"Fire Zombie"
TwitchAction_FuriousRamsayTNFireZombieCommand,"#tn_fire"
TwitchAction_FuriousRamsayTNFireZombieDesc,"Spawn Fire Zombie"
		
TwitchAction_FuriousRamsayTNFireZombieFeral,"Feral Fire Zombie"
TwitchAction_FuriousRamsayTNFireZombieFeralCommand,"#tn_fire_fer"
TwitchAction_FuriousRamsayTNFireZombieFeralDesc,"Spawn Feral Fire Zombie"

TwitchAction_FuriousRamsayTNFireZombieRadiated,"Radiated Fire Zombie"
TwitchAction_FuriousRamsayTNFireZombieRadiatedCommand,"#tn_fire_rad"
TwitchAction_FuriousRamsayTNFireZombieRadiatedDesc,"Spawn Radiated Fire Zombie"

TwitchAction_FuriousRamsayTNSmokeZombie,"Explosion Zombie"
TwitchAction_FuriousRamsayTNSmokeZombieCommand,"#tn_explosion"
TwitchAction_FuriousRamsayTNSmokeZombieDesc,"Spawn Explosion Zombie"
		
TwitchAction_FuriousRamsayTNSmokeZombieFeral,"Feral Explosion Zombie"
TwitchAction_FuriousRamsayTNSmokeZombieFeralCommand,"#tn_explosion_fer"
TwitchAction_FuriousRamsayTNSmokeZombieFeralDesc,"Spawn Explosion Zombie"

TwitchAction_FuriousRamsayTNSmokeZombieRadiated,"Radiated Explosion Zombie"
TwitchAction_FuriousRamsayTNSmokeZombieRadiatedCommand,"#tn_explosion_rad"
TwitchAction_FuriousRamsayTNSmokeZombieRadiatedDesc,"Spawn Radiated Explosion Zombie"
		
TwitchAction_FuriousRamsayTNFireShockZombie,"Fire/Shock Zombie"
TwitchAction_FuriousRamsayTNFireShockZombieCommand,"#tn_fs"
TwitchAction_FuriousRamsayTNFireShockZombieDesc,"Spawn Fire/Shock Zombie"
		
TwitchAction_FuriousRamsayTNFireShockZombieFeral,"Feral Fire/Shock Zombie"
TwitchAction_FuriousRamsayTNFireShockZombieFeralCommand,"#tn_fs_fer"
TwitchAction_FuriousRamsayTNFireShockZombieFeralDesc,"Spawn Feral Fire/Shock Zombie"

TwitchAction_FuriousRamsayTNFireShockZombieRadiated,"Radiated Fire/Shock Zombie"
TwitchAction_FuriousRamsayTNFireShockZombieRadiatedCommand,"#tn_fs_rad"
TwitchAction_FuriousRamsayTNFireShockZombieRadiatedDesc,"Spawn Radiated Fire/Shock Zombie"

TwitchAction_FuriousRamsayTNFireShockSmokeZombie,"Fire/Shock/Explosion Zombie"
TwitchAction_FuriousRamsayTNFireShockSmokeZombieCommand,"#tn_fse"
TwitchAction_FuriousRamsayTNFireShockSmokeZombieDesc,"Spawn Fire/Shock/Explosion Zombie"
		
TwitchAction_FuriousRamsayTNFireShockSmokeZombieFeral,"Feral Fire/Shock/Explosion Zombie"
TwitchAction_FuriousRamsayTNFireShockSmokeZombieFeralCommand,"#tn_fse_fer"
TwitchAction_FuriousRamsayTNFireShockSmokeZombieFeralDesc,"Spawn Feral Fire/Shock/Explosion Zombie"

TwitchAction_FuriousRamsayTNFireShockSmokeZombieRadiated,"Radiated Fire/Shock/Explosion Zombie"
TwitchAction_FuriousRamsayTNFireShockSmokeZombieRadiatedCommand,"#tn_fse_rad"
TwitchAction_FuriousRamsayTNFireShockSmokeZombieRadiatedDesc,"Spawn Radiated Fire/Shock/Explosion Zombie"
