Key,Source,Context,English
quest_FuriousRamsayDefendArea_Tier1_offer,Quests,Quests,"A wave of zombies is fast approaching.\n\nStay here and help defend this location. It's imperative that you keep them away from us.\n\nSome of our people aren't able to fight. This will be a good test of your skills."
quest_FuriousRamsayDefendArea_Tier1_response,Quests,Quests,"Defense"
quest_FuriousRamsayDefendArea_Tier1_statement,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier1_completion,Quests,Quests,"Great job my friend.\n\nYou're a natural, keep it up.\n\nPlease choose a reward.?"

quest_FuriousRamsayDefendArea_Tier2_subtitle,Quests,Quests,"Defense (Tier 2)"
quest_FuriousRamsayDefendArea_Tier2_description,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier2_title,Quests,Quests,"Defense (Tier 2)"
quest_FuriousRamsayDefendArea_Tier2_offer,Quests,Quests,"A wave of zombies is fast approaching.\n\nStay here and help defend this location. It's imperative that you keep them away from us.\n\nSome of our people aren't able to fight. This will be a good test of your skills."
quest_FuriousRamsayDefendArea_Tier2_response,Quests,Quests,"Defense"
quest_FuriousRamsayDefendArea_Tier2_statement,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier2_completion,Quests,Quests,"Great job my friend.\n\nYou're a natural, keep it up.\n\nPlease choose a reward.?"

quest_FuriousRamsayDefendArea_Tier3_subtitle,Quests,Quests,"Defense (Tier 3)"
quest_FuriousRamsayDefendArea_Tier3_description,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier3_title,Quests,Quests,"Defense (Tier 3)"
quest_FuriousRamsayDefendArea_Tier3_offer,Quests,Quests,"A wave of zombies is fast approaching.\n\nStay here and help defend this location. It's imperative that you keep them away from us.\n\nSome of our people aren't able to fight. This will be a good test of your skills."
quest_FuriousRamsayDefendArea_Tier3_response,Quests,Quests,"Defense"
quest_FuriousRamsayDefendArea_Tier3_statement,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier3_completion,Quests,Quests,"Great job my friend.\n\nYou're a natural, keep it up.\n\nPlease choose a reward.?"

quest_FuriousRamsayDefendArea_Tier4_subtitle,Quests,Quests,"Defense (Tier 4)"
quest_FuriousRamsayDefendArea_Tier4_description,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier4_title,Quests,Quests,"Defense (Tier 4)"
quest_FuriousRamsayDefendArea_Tier4_offer,Quests,Quests,"A wave of zombies is fast approaching.\n\nStay here and help defend this location. It's imperative that you keep them away from us.\n\nSome of our people aren't able to fight. This will be a good test of your skills."
quest_FuriousRamsayDefendArea_Tier4_response,Quests,Quests,"Defense"
quest_FuriousRamsayDefendArea_Tier4_statement,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier4_completion,Quests,Quests,"Great job my friend.\n\nYou're a natural, keep it up.\n\nPlease choose a reward.?"

quest_FuriousRamsayDefendArea_Tier5_subtitle,Quests,Quests,"Defense (Tier 5)"
quest_FuriousRamsayDefendArea_Tier5_description,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier5_title,Quests,Quests,"Defense (Tier 5)"
quest_FuriousRamsayDefendArea_Tier5_offer,Quests,Quests,"A wave of zombies is fast approaching.\n\nStay here and help defend this location. It's imperative that you keep them away from us.\n\nSome of our people aren't able to fight. This will be a good test of your skills."
quest_FuriousRamsayDefendArea_Tier5_response,Quests,Quests,"Defense"
quest_FuriousRamsayDefendArea_Tier5_statement,Quests,Quests,"Defend this location from an upcomign wave of zombies."
quest_FuriousRamsayDefendArea_Tier5_completion,Quests,Quests,"Great job my friend.\n\nYou're a natural, keep it up.\n\nPlease choose a reward.?"

quest_FuriousRamsaySkullsClearFetch_Tier1_subtitle,Quests,Quests,"The Skulls (Tier 1)"
quest_FuriousRamsaySkullsClearFetch_Tier1_description,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier1_title,Quests,Quests,"The Skulls (Tier 1)"
quest_FuriousRamsaySkullsClearFetch_Tier1_offer,Quests,Quests,"This training does have a price and we do have people to feed.\n\nWe've stashed some goods all over and we need you to retrieve them from [DECEA3]{poi.name}[-].\n\nBe careful as these parts are under the control of a faction who call themselves The Skulls and they are brutal savages who will destroy anything on their path.\n\nI will have a reward for you if you can bring the supplies back."
quest_FuriousRamsaySkullsClearFetch_Tier1_response,Quests,Quests,"The Skulls ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_FuriousRamsaySkullsClearFetch_Tier1_statement,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier1_completion,Quests,Quests,"Thank you for this.\n\nWe will be able to feed quite a few people\n\nPlease choose a reward.?"

quest_FuriousRamsaySkullsClearFetch_Tier2_subtitle,Quests,Quests,"The Skulls (Tier 2)"
quest_FuriousRamsaySkullsClearFetch_Tier2_description,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier2_title,Quests,Quests,"The Skulls (Tier 2)"
quest_FuriousRamsaySkullsClearFetch_Tier2_offer,Quests,Quests,"This training does have a price and we do have people to feed.\n\nWe've stashed some goods all over and we need you to retrieve them from [DECEA3]{poi.name}[-].\n\nBe careful as these parts are under the control of a faction who call themselves The Skulls and they are brutal savages who will destroy anything on their path.\n\nI will have a reward for you if you can bring the supplies back."
quest_FuriousRamsaySkullsClearFetch_Tier2_response,Quests,Quests,"The Skulls ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_FuriousRamsaySkullsClearFetch_Tier2_statement,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier2_completion,Quests,Quests,"Thank you for this.\n\nWe will be able to feed quite a few people\n\nPlease choose a reward.?"

quest_FuriousRamsaySkullsClearFetch_Tier3_subtitle,Quests,Quests,"The Skulls (Tier 3)"
quest_FuriousRamsaySkullsClearFetch_Tier3_description,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier3_title,Quests,Quests,"The Skulls (Tier 3)"
quest_FuriousRamsaySkullsClearFetch_Tier3_offer,Quests,Quests,"This training does have a price and we do have people to feed.\n\nWe've stashed some goods all over and we need you to retrieve them from [DECEA3]{poi.name}[-].\n\nBe careful as these parts are under the control of a faction who call themselves The Skulls and they are brutal savages who will destroy anything on their path.\n\nI will have a reward for you if you can bring the supplies back."
quest_FuriousRamsaySkullsClearFetch_Tier3_response,Quests,Quests,"The Skulls ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_FuriousRamsaySkullsClearFetch_Tier3_statement,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier3_completion,Quests,Quests,"Thank you for this.\n\nWe will be able to feed quite a few people\n\nPlease choose a reward.?"

quest_FuriousRamsaySkullsClearFetch_Tier4_subtitle,Quests,Quests,"The Skulls (Tier 4)"
quest_FuriousRamsaySkullsClearFetch_Tier4_description,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier4_title,Quests,Quests,"The Skulls (Tier 4)"
quest_FuriousRamsaySkullsClearFetch_Tier4_offer,Quests,Quests,"This training does have a price and we do have people to feed.\n\nWe've stashed some goods all over and we need you to retrieve them from [DECEA3]{poi.name}[-].\n\nBe careful as these parts are under the control of a faction who call themselves The Skulls and they are brutal savages who will destroy anything on their path.\n\nI will have a reward for you if you can bring the supplies back."
quest_FuriousRamsaySkullsClearFetch_Tier4_response,Quests,Quests,"The Skulls ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_FuriousRamsaySkullsClearFetch_Tier4_statement,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier4_completion,Quests,Quests,"Thank you for this.\n\nWe will be able to feed quite a few people\n\nPlease choose a reward.?"

quest_FuriousRamsaySkullsClearFetch_Tier5_subtitle,Quests,Quests,"The Skulls (Tier 5)"
quest_FuriousRamsaySkullsClearFetch_Tier5_description,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier5_title,Quests,Quests,"The Skulls (Tier 5)"
quest_FuriousRamsaySkullsClearFetch_Tier5_offer,Quests,Quests,"This training does have a price and we do have people to feed.\n\nWe've stashed some goods all over and we need you to retrieve them from [DECEA3]{poi.name}[-].\n\nBe careful as these parts are under the control of a faction who call themselves The Skulls and they are brutal savages who will destroy anything on their path.\n\nI will have a reward for you if you can bring the supplies back."
quest_FuriousRamsaySkullsClearFetch_Tier5_response,Quests,Quests,"The Skulls ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_FuriousRamsaySkullsClearFetch_Tier5_statement,Quests,Quests,"Fetch some supplies for your trainer and dispose of anyone who comes in your way"
quest_FuriousRamsaySkullsClearFetch_Tier5_completion,Quests,Quests,"Thank you for this.\n\nWe will be able to feed quite a few people\n\nPlease choose a reward.?"

quest_FuriousRamsayHunterTraining_Tier1_subtitle,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayHunterTraining_Tier1_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier1_title,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayHunterTraining_Tier1_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayHunterTraining_Tier1_response,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayHunterTraining_Tier1_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier2_subtitle,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayHunterTraining_Tier2_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier2_title,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayHunterTraining_Tier2_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayHunterTraining_Tier2_response,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayHunterTraining_Tier2_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier3_subtitle,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayHunterTraining_Tier3_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier3_title,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayHunterTraining_Tier3_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayHunterTraining_Tier3_response,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayHunterTraining_Tier3_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier4_subtitle,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayHunterTraining_Tier4_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier4_title,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayHunterTraining_Tier4_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayHunterTraining_Tier4_response,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayHunterTraining_Tier4_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier5_subtitle,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayHunterTraining_Tier5_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayHunterTraining_Tier5_title,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayHunterTraining_Tier5_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayHunterTraining_Tier5_response,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayHunterTraining_Tier5_statement,Quests,Quests,"You get to go one on one against your trainer"

quest_FuriousRamsayThugTraining_Tier1_subtitle,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayThugTraining_Tier1_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier1_title,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayThugTraining_Tier1_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayThugTraining_Tier1_response,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayThugTraining_Tier1_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier2_subtitle,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayThugTraining_Tier2_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier2_title,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayThugTraining_Tier2_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayThugTraining_Tier2_response,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayThugTraining_Tier2_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier3_subtitle,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayThugTraining_Tier3_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier3_title,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayThugTraining_Tier3_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayThugTraining_Tier3_response,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayThugTraining_Tier3_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier4_subtitle,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayThugTraining_Tier4_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier4_title,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayThugTraining_Tier4_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayThugTraining_Tier4_response,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayThugTraining_Tier4_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier5_subtitle,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayThugTraining_Tier5_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayThugTraining_Tier5_title,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayThugTraining_Tier5_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayThugTraining_Tier5_response,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayThugTraining_Tier5_statement,Quests,Quests,"You get to go one on one against your trainer"

quest_FuriousRamsayButcherTraining_Tier1_subtitle,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayButcherTraining_Tier1_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier1_title,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayButcherTraining_Tier1_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayButcherTraining_Tier1_response,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayButcherTraining_Tier1_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier2_subtitle,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayButcherTraining_Tier2_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier2_title,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayButcherTraining_Tier2_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayButcherTraining_Tier2_response,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsayButcherTraining_Tier2_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier3_subtitle,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayButcherTraining_Tier3_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier3_title,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayButcherTraining_Tier3_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayButcherTraining_Tier3_response,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsayButcherTraining_Tier3_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier4_subtitle,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayButcherTraining_Tier4_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier4_title,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayButcherTraining_Tier4_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayButcherTraining_Tier4_response,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsayButcherTraining_Tier4_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier5_subtitle,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayButcherTraining_Tier5_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayButcherTraining_Tier5_title,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayButcherTraining_Tier5_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsayButcherTraining_Tier5_response,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsayButcherTraining_Tier5_statement,Quests,Quests,"You get to go one on one against your trainer"

quest_FuriousRamsaySoldierTraining_Tier1_subtitle,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsaySoldierTraining_Tier1_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier1_title,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsaySoldierTraining_Tier1_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsaySoldierTraining_Tier1_response,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsaySoldierTraining_Tier1_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier2_subtitle,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsaySoldierTraining_Tier2_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier2_title,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsaySoldierTraining_Tier2_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsaySoldierTraining_Tier2_response,Quests,Quests,"Personal Training (Tier 2)"
quest_FuriousRamsaySoldierTraining_Tier2_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier3_subtitle,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsaySoldierTraining_Tier3_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier3_title,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsaySoldierTraining_Tier3_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsaySoldierTraining_Tier3_response,Quests,Quests,"Personal Training (Tier 3)"
quest_FuriousRamsaySoldierTraining_Tier3_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier4_subtitle,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsaySoldierTraining_Tier4_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier4_title,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsaySoldierTraining_Tier4_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsaySoldierTraining_Tier4_response,Quests,Quests,"Personal Training (Tier 4)"
quest_FuriousRamsaySoldierTraining_Tier4_statement,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier5_subtitle,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsaySoldierTraining_Tier5_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsaySoldierTraining_Tier5_title,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsaySoldierTraining_Tier5_offer,Quests,Quests,"Do you feel like you have what it takes to take me on?\n\nI may be a little rusty but I still have a few tricks up my sleeve.\n\nLet's meet not too far from here and get this started shall we?"
quest_FuriousRamsaySoldierTraining_Tier5_response,Quests,Quests,"Personal Training (Tier 5)"
quest_FuriousRamsaySoldierTraining_Tier5_statement,Quests,Quests,"You get to go one on one against your trainer"

quest_FuriousRamsayTechnogeekTraining_Tier1_subtitle,Quests,Quests,"Personal Training (Tier 1)"
quest_FuriousRamsayTechnogeekTraining_Tier1_description,Quests,Quests,"You get to go one on one against your trainer"
quest_FuriousRamsayTechnogeekTraining_Tier1_title,Quests,Quests,"Personal Training (Tier 1)"
