Key,Source,Context,English
FuriousRamsayZombieArleneToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieDarleneToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieMarleneToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieYoToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieSteveToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieBusinessManToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieOldTimerToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieSkateboarderToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieUtilityWorkerToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieSpiderToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieFatCopToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieBikerToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieSoldierToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieMoeToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieFemaleFatToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)
FuriousRamsayZombieWightToxicCrawlerWandering,entityclasses,Entity,Creeping Radiated Zombie (Toxic)

FuriousRamsayBoarToxicRadiatedWandering,entityclasses,Entity,Radiated Boar (Toxic)
FuriousRamsayCoyoteToxicRadiatedWandering,entityclasses,Entity,Radiated Coyote (Toxic)
FuriousRamsayWolfToxicRadiatedWandering,entityclasses,Entity,Radiated Wolf (Toxic)
FuriousRamsayDireWolfToxicRadiatedWandering,entityclasses,Entity,Radiated Dire Wolf (Toxic)
FuriousRamsayMountainLionToxicRadiatedWandering,entityclasses,Entity,Radiated Mountain Lion (Toxic)
FuriousRamsayBearToxicRadiatedWandering,entityclasses,Entity,Radiated Bear (Toxic)
FuriousRamsayVultureToxicRadiatedWandering,entityclasses,Entity,Radiated Vulture (Toxic)

FuriousRamsayHazmatTier1Wandering,entityclasses,Entity,Hazmat Zombie (Tier 1)
FuriousRamsayHazmatTier2Wandering,entityclasses,Entity,Hazmat Zombie (Tier 2)
FuriousRamsayHazmatTier3Wandering,entityclasses,Entity,Hazmat Zombie (Tier 3)
FuriousRamsayHazmatTier4Wandering,entityclasses,Entity,Hazmat Zombie (Tier 4)
FuriousRamsayHazmatTier5Wandering,entityclasses,Entity,Hazmat Zombie (Tier 5)

FuriousRamsayTrainerTier1Wandering,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier2Wandering,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier3Wandering,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier4Wandering,entityclasses,Entity,Horde Trainer
FuriousRamsayTrainerTier5Wandering,entityclasses,Entity,Horde Trainer

FuriousRamsayBlackDecoyFireZombieBoeWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFemaleFatWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieJoeWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieJanitorWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMoeWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieArleneWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieLabWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieDarleneWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMarleneWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieYoWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSteveWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieBusinessManWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieCheerleaderWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSkateboarderWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieUtilityWorkerWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieNurseWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieStripperWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSteveCrawlerWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSpiderWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFatHawaiianWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieBikerWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSoldierWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMaleHazmatWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFarmerWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieOldTimerWandering,entityclasses,Entity,Zombie (Fire Immune)

FuriousRamsayBlackDecoyFireZombieFootballPlayerWandering,entityclasses,Entity,Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieNurseFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieBusinessManFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSteveFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieYoFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMarleneFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieDarleneFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieLabFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieArleneFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMoeFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieJanitorFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieJoeFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFemaleFatFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieBoeFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieStripperFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFarmerFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieBikerFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieOldTimerFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieCheerleaderFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSkateboarderFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSoldierFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieUtilityWorkerFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFatHawaiianFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSpiderFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSteveCrawlerFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieWightFeralWandering,entityclasses,Entity,Feral Zombie (Fire Immune)

FuriousRamsayBlackDecoyFireZombieBikerRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieOldTimerRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieCheerleaderRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSkateboarderRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSoldierRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSpiderRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieSteveRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieYoRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMarleneRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieDarleneRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieLabRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieArleneRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieMoeRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieJanitorRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieJoeRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieFemaleFatRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieBoeRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)
FuriousRamsayBlackDecoyFireZombieWightRadiatedWandering,entityclasses,Entity,Radiated Zombie (Fire Immune)

FuriousRamsayBlackDecoyShockZombieBoeWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieFemaleFatWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieJoeWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieJanitorWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieMoeWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieArleneWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieLabWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieDarleneWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieMarleneWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieYoWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSteveWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieBusinessManWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieCheerleaderWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSkateboarderWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieUtilityWorkerWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieNurseWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieStripperWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSteveCrawlerWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSpiderWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieFatHawaiianWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieBikerWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSoldierWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieMaleHazmatWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieFarmerWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieOldTimerWandering,entityclasses,Entity,Zombie (Shock Immune)

FuriousRamsayBlackDecoyShockZombieFootballPlayerWandering,entityclasses,Entity,Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieNurseFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieBusinessManFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSteveFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieYoFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieMarleneFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieDarleneFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieLabFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieArleneFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieMoeFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieJanitorFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieJoeFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieFemaleFatFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieBoeFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieStripperFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieFarmerFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieBikerFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieOldTimerFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieCheerleaderFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSkateboarderFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSoldierFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieUtilityWorkerFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieFatHawaiianFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSpiderFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSteveCrawlerFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieWightFeralWandering,entityclasses,Entity,Feral Zombie (Shock Immune)

FuriousRamsayBlackDecoyShockZombieBikerRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieOldTimerRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieCheerleaderRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSkateboarderRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSoldierRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSpiderRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieSteveRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieYoRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieMarleneRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
FuriousRamsayBlackDecoyShockZombieDarleneRadiatedWandering,entityclasses,Entity,Radiated Zombie (Shock Immune)
